OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,HISPPOP_CY,MINORITYCY,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,MINORITY10,DIVINDX10,HISPWHT_CY,HISPBLK_CY,HISPAI_CY,HISPASN_CY,HISPPI_CY,HISPOTH_CY,HISPMLT_CY,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,NONHISP_CY,NHSPWHT_CY,NHSPBLK_CY,NHSPAI_CY,NHSPASN_CY,NHSPPI_CY,NHSPOTH_CY,NHSPMLT_CY,RACEBASECY,WHTNHISP10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,DIVINDX_CY
36,El Gheko,2,NEIGHBORHOODS,5,US,36,BlockApportionment:US.BlockGroups,2.191,2.576,1,1490,69,24,33,3,109,75,428,587,1539,60,21,26,3,88,63,351,487,49.7,274,9,6,1,0,104,33,226,8,6,1,0,83,27,351,324,231,222,308,1376,1217,60,18,32,3,4,43,1803,1313,1800,1737,1492,1465,56.3
37,El Conquistador,6,NEIGHBORHOODS,6,US,37,BlockApportionment:US.BlockGroups,2.191,2.576,1,139,2,3,8,0,12,6,42,58,150,2,3,6,0,10,6,37,50,51.8,27,0,1,0,0,12,2,23,0,1,0,0,10,2,36,35,27,26,30,128,112,1,2,7,0,0,5,170,127,177,171,147,144,57.9
38,El Cortez,3,NEIGHBORHOODS,7,US,38,BlockApportionment:US.BlockGroups,2.191,2.576,1,220,61,17,29,0,112,23,246,354,248,63,18,27,0,105,23,236,345,85.8,112,5,9,1,0,112,7,109,5,9,1,0,105,7,236,229,155,151,114,218,109,56,9,29,0,0,16,462,139,484,461,370,359,87.5
39,El Montevideo,6,NEIGHBORHOODS,8,US,39,BlockApportionment:US.BlockGroups,2.191,2.576,1,303,9,1,9,0,6,9,64,87,298,8,1,7,0,4,8,50,68,37.7,53,2,0,0,0,6,3,41,2,0,0,0,4,3,50,47,42,40,37,273,251,7,1,9,0,0,6,337,257,326,318,288,282,43.9
40,El Presidio,1,NEIGHBORHOODS,9,US,40,BlockApportionment:US.BlockGroups,2.191,2.576,1,403,29,39,24,1,168,27,445,526,402,27,36,20,1,144,24,388,462,80.2,238,8,14,1,0,168,17,209,7,12,1,0,144,15,388,373,287,278,121,246,165,22,25,22,1,0,10,691,192,654,630,533,517,81.2
41,El Rio Acres,1,NEIGHBORHOODS,10,US,41,BlockApportionment:US.BlockGroups,2.191,2.576,1,762,164,310,19,0,639,91,1383,1794,791,164,303,17,0,599,88,1316,1723,89.2,570,17,95,1,0,634,66,552,16,89,1,0,593,64,1315,1252,872,841,656,603,192,147,215,18,0,5,26,1985,239,1962,1874,1306,1261,89.7
42,Elvira,1,NEIGHBORHOODS,11,US,42,BlockApportionment:US.BlockGroups,2.191,2.576,1,1837,39,115,12,6,1151,124,2964,3080,1847,40,117,12,6,1087,123,2849,2972,74,1633,12,59,5,4,1141,110,1587,12,58,5,4,1074,109,2849,2740,1907,1846,1009,320,204,27,56,7,2,10,14,3284,260,3232,3109,2223,2155,74.1
43,Enchanted Hills,1,NEIGHBORHOODS,12,US,43,BlockApportionment:US.BlockGroups,2.191,2.576,1,742,66,113,11,0,537,79,1200,1352,762,66,112,10,0,495,76,1123,1278,84.1,547,12,44,4,0,531,62,519,11,42,4,0,487,60,1123,1064,714,683,500,348,195,54,68,7,0,6,16,1548,242,1521,1445,1020,979,84.5
44,Flowing Wells,1,NEIGHBORHOODS,13,US,44,BlockApportionment:US.BlockGroups,2.191,2.576,1,6523,199,184,209,10,1803,310,4852,5454,6567,179,166,170,10,1496,269,4112,4638,72.3,2740,38,85,4,1,1796,188,2349,32,74,4,1,1489,162,4111,3949,2680,2588,2154,4386,3783,161,99,205,9,7,122,9238,4218,8857,8588,6702,6538,74.9
45,Glenn Heights,2,NEIGHBORHOODS,14,US,45,BlockApportionment:US.BlockGroups,2.191,2.576,1,536,9,4,20,0,17,14,85,126,529,8,3,15,0,13,11,66,98,33.3,61,0,2,0,0,16,6,48,0,1,0,0,12,5,66,61,53,49,59,515,474,9,2,20,0,2,8,600,481,579,568,520,514,39.5
