OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,HISPPOP_CY,MINORITYCY,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,MINORITY10,DIVINDX10,HISPWHT_CY,HISPBLK_CY,HISPAI_CY,HISPASN_CY,HISPPI_CY,HISPOTH_CY,HISPMLT_CY,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,NONHISP_CY,NHSPWHT_CY,NHSPBLK_CY,NHSPAI_CY,NHSPASN_CY,NHSPPI_CY,NHSPOTH_CY,NHSPMLT_CY,RACEBASECY,WHTNHISP10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,DIVINDX_CY
86,Richland Heights West,3,NEIGHBORHOODS,25,US,86,BlockApportionment:US.BlockGroups,2.191,2.576,1,426,14,14,16,2,38,18,110,162,455,13,12,13,2,31,15,92,137,49.1,60,0,7,0,1,36,6,51,0,6,0,1,29,5,92,87,72,68,81,418,366,14,7,16,1,2,12,528,404,541,526,460,448,56.2
87,Rillito,2,NEIGHBORHOODS,26,US,87,BlockApportionment:US.BlockGroups,2.191,2.576,1,1048,71,28,157,3,139,99,413,721,1059,61,24,122,3,111,81,333,584,65.4,224,10,13,1,1,132,32,182,8,11,1,1,104,26,333,307,230,215,299,1132,824,61,15,156,2,7,67,1545,877,1461,1380,1162,1115,71.2
88,Rincon Heights,6,NEIGHBORHOODS,27,US,88,BlockApportionment:US.BlockGroups,2.191,2.576,1,1637,70,53,176,6,218,111,605,958,1654,61,46,136,5,174,92,487,776,61.7,324,11,13,3,4,208,42,264,9,11,2,3,164,34,487,453,417,390,141,1666,1313,60,39,173,2,9,69,2271,1391,2168,2076,2026,1947,67.9
89,Rita Ranch,4,NEIGHBORHOODS,28,US,89,BlockApportionment:US.BlockGroups,2.191,2.576,1,13274,987,129,707,76,1172,975,4653,6955,12894,822,106,525,62,891,775,3589,5435,57.7,2910,76,60,49,12,1139,407,2254,59,48,38,9,859,323,3590,3266,2018,1908,5271,12665,10363,910,69,658,64,32,568,17320,10640,16075,15300,10804,10498,64
90,Roberts,5,NEIGHBORHOODS,29,US,90,BlockApportionment:US.BlockGroups,2.191,2.576,1,1231,235,72,197,6,505,96,1366,1872,1368,246,76,193,6,490,95,1343,1862,83.7,760,25,21,8,0,504,47,757,24,20,7,0,489,46,1343,1297,839,814,796,977,470,210,51,189,6,1,49,2342,611,2474,2379,1677,1626,84.9
91,Rose,1,NEIGHBORHOODS,0,US,91,BlockApportionment:US.BlockGroups,2.191,2.576,1,1359,26,108,6,0,645,52,2056,2118,1358,25,108,6,0,611,51,1996,2061,65.7,1283,19,63,1,0,644,47,1260,18,61,1,0,610,46,1996,1950,1475,1441,545,138,76,7,45,5,0,1,5,2196,98,2159,2108,1614,1574,66
92,Rosemont West,6,NEIGHBORHOODS,1,US,92,BlockApportionment:US.BlockGroups,2.191,2.576,1,1211,47,18,56,3,165,94,529,686,1289,44,15,47,2,141,82,455,594,62.2,304,2,7,5,0,160,52,263,2,6,4,0,134,46,455,409,289,268,378,1064,907,46,10,51,3,5,42,1594,1027,1620,1538,1243,1202,67.7
93,Saguaro Miraflores,1,NEIGHBORHOODS,2,US,93,BlockApportionment:US.BlockGroups,2.191,2.576,1,492,33,12,31,0,84,38,310,391,516,30,11,26,0,72,34,272,344,70.5,193,6,4,0,0,83,24,170,5,4,0,0,71,21,271,251,195,184,140,379,299,27,7,31,0,1,14,690,345,689,655,549,532,74.1
94,Sam Hughes,6,NEIGHBORHOODS,3,US,94,BlockApportionment:US.BlockGroups,2.191,2.576,1,4141,120,61,178,6,194,161,917,1367,4184,100,51,138,5,151,131,725,1089,42.6,647,11,15,6,4,186,49,514,9,12,5,3,143,39,725,686,569,543,592,3944,3494,109,46,172,2,8,112,4861,3671,4760,4629,4168,4077,49.5
95,Samos,3,NEIGHBORHOODS,4,US,95,BlockApportionment:US.BlockGroups,2.191,2.576,1,841,24,35,24,1,64,40,269,353,880,21,31,20,1,53,34,225,298,52.4,167,5,15,2,0,62,19,140,4,12,2,0,51,16,225,209,181,172,115,759,674,19,20,22,1,2,21,1029,740,1040,1006,923,901,58.7
96,San Carlos,2,NEIGHBORHOODS,5,US,96,BlockApportionment:US.BlockGroups,2.191,2.576,1,133,13,4,4,1,21,9,55,80,146,12,4,3,1,18,8,47,71,63.3,28,1,1,0,0,21,4,25,1,1,0,0,18,3,48,44,29,27,44,131,105,12,3,4,1,0,5,185,121,192,184,148,144,69.8
97,San Clemente,6,NEIGHBORHOODS,6,US,97,BlockApportionment:US.BlockGroups,2.191,2.576,1,546,21,8,23,0,73,37,220,289,558,18,7,19,0,59,31,182,240,60.2,127,2,1,1,0,72,17,106,2,1,1,0,58,15,183,167,125,117,121,488,419,19,6,22,0,1,20,708,453,692,661,572,551,65.9
98,San Gabriel,6,NEIGHBORHOODS,7,US,98,BlockApportionment:US.BlockGroups,2.191,2.576,1,659,33,13,24,0,104,52,325,409,708,30,12,20,0,89,46,284,360,65.1,183,7,5,1,0,102,28,161,6,4,1,0,87,25,284,260,194,180,184,560,476,26,8,24,0,2,24,885,546,905,859,722,695,70.1
99,San Ignacio Yaqui,3,NEIGHBORHOODS,8,US,99,BlockApportionment:US.BlockGroups,2.191,2.576,1,228,62,126,9,1,140,31,329,499,242,61,122,8,1,127,29,302,469,88.9,129,6,37,1,0,139,17,120,5,35,1,0,125,16,302,286,204,196,174,270,100,57,88,9,1,1,14,597,122,590,561,417,399,89.9
100,Santa Cruz Southwest,1,NEIGHBORHOODS,9,US,100,BlockApportionment:US.BlockGroups,2.191,2.576,1,1609,53,135,22,6,986,112,2326,2470,1628,55,132,20,5,908,107,2170,2314,79.2,1156,17,76,6,6,986,79,1087,18,72,5,5,908,74,2169,2096,1338,1299,926,597,452,36,59,16,0,0,33,2923,541,2855,2748,1929,1869,79.4
101,Santa Rita Park - West Ochoa,5,NEIGHBORHOODS,10,US,101,BlockApportionment:US.BlockGroups,2.191,2.576,1,1087,160,142,9,1,516,97,1378,1653,1091,154,135,8,1,448,88,1234,1498,82.1,728,16,61,3,1,512,56,663,14,56,3,1,445,52,1234,1182,873,845,481,634,359,144,81,6,1,3,40,2012,428,1925,1837,1445,1393,82.8
102,Sewell,6,NEIGHBORHOODS,11,US,102,BlockApportionment:US.BlockGroups,2.191,2.576,1,530,33,12,33,0,76,37,204,300,603,33,11,29,0,67,35,184,273,61.4,108,2,7,0,0,76,12,98,2,6,0,0,67,11,184,173,124,120,149,518,422,31,5,33,0,0,25,721,505,778,743,629,614,67.6
103,South Harrison,4,NEIGHBORHOODS,12,US,103,BlockApportionment:US.BlockGroups,2.191,2.576,1,5028,396,75,278,33,418,268,1659,2518,5199,351,64,221,28,337,224,1366,2097,56.1,1050,19,34,21,5,410,120,873,16,28,16,4,329,100,1366,1266,851,814,1466,4837,3978,378,41,257,28,8,147,6496,4327,6424,6200,4958,4860,62.5
104,South Park,5,NEIGHBORHOODS,13,US,104,BlockApportionment:US.BlockGroups,2.191,2.576,1,1740,412,131,58,6,1190,142,2762,3323,1741,410,132,53,6,1096,136,2583,3141,84.9,1384,38,53,4,3,1185,95,1307,35,51,4,3,1091,92,2583,2491,1712,1657,1076,917,355,374,78,55,3,5,47,3679,433,3574,3438,2498,2417,85.1
105,Cabrini,3,NEIGHBORHOODS,14,US,105,BlockApportionment:US.BlockGroups,2.191,2.576,1,1434,158,76,41,10,219,132,709,1042,1452,138,66,33,8,177,110,583,871,68.4,406,22,17,2,2,210,49,338,18,14,2,1,168,41,582,542,412,388,414,1361,1028,136,59,39,8,8,83,2070,1115,1984,1874,1572,1508,73.2
106,Starr Pass,1,NEIGHBORHOODS,15,US,106,BlockApportionment:US.BlockGroups,2.191,2.576,1,1362,68,44,52,8,213,66,741,907,1358,59,37,42,7,170,55,607,748,66.3,456,5,18,3,3,212,44,377,3,15,3,3,170,37,608,570,447,425,242,1072,906,64,25,49,5,1,22,1813,981,1728,1673,1487,1451,70.7
107,Stella Mann,4,NEIGHBORHOODS,16,US,107,BlockApportionment:US.BlockGroups,2.191,2.576,1,2752,439,78,182,19,692,341,1708,2525,2894,397,70,151,17,578,297,1450,2175,75.4,774,56,27,8,1,685,157,665,47,23,7,1,570,137,1450,1313,883,835,1188,2796,1978,383,52,174,18,7,184,4503,2229,4404,4107,3216,3087,79.6
108,Sunnyside,1,NEIGHBORHOODS,17,US,108,BlockApportionment:US.BlockGroups,2.191,2.576,1,8953,261,743,76,13,4943,460,13975,14723,9142,272,770,74,13,4752,459,13751,14539,71.8,8226,86,303,26,3,4922,409,8199,84,301,27,3,4728,409,13751,13342,9053,8785,5108,1475,727,175,440,50,10,21,51,15449,944,15482,15023,10375,10080,72
109,Sunset Villa,1,NEIGHBORHOODS,18,US,109,BlockApportionment:US.BlockGroups,2.191,2.576,1,733,40,74,16,2,388,40,1078,1169,728,39,73,14,2,357,38,1012,1103,76.3,609,6,35,6,2,388,32,580,6,33,6,2,356,31,1014,982,691,674,350,214,123,33,39,10,0,1,8,1293,148,1251,1213,901,880,76.4
110,Swan Way Park,6,NEIGHBORHOODS,19,US,110,BlockApportionment:US.BlockGroups,2.191,2.576,1,742,93,28,69,16,92,57,281,505,823,87,26,58,15,78,51,246,449,64.9,150,6,10,0,1,92,21,133,5,9,0,1,78,19,245,227,176,168,219,817,592,87,18,68,15,0,36,1097,690,1138,1087,920,894,70.9
111,Terra Del Sol,4,NEIGHBORHOODS,20,US,111,BlockApportionment:US.BlockGroups,2.191,2.576,1,3385,251,69,101,18,551,256,1498,1997,3486,218,60,82,17,444,214,1234,1664,64,753,37,21,1,1,545,140,629,30,17,1,1,438,118,1234,1117,818,764,953,3132,2632,213,47,100,17,6,116,4631,2857,4521,4307,3568,3461,69.7
112,Thunderbird Heights/Wilmot Desert Esta,6,NEIGHBORHOODS,21,US,112,BlockApportionment:US.BlockGroups,2.191,2.576,1,768,29,11,46,2,62,36,204,314,696,22,8,32,2,44,26,146,225,49.9,127,2,2,2,0,61,10,92,2,2,1,0,43,7,147,139,107,103,142,751,641,26,8,45,2,1,26,954,605,830,804,688,673,56.8
113,Tucson Park West #1,1,NEIGHBORHOODS,22,US,113,BlockApportionment:US.BlockGroups,2.191,2.576,1,846,71,38,51,5,148,39,538,702,821,62,33,40,4,118,33,439,577,71.2,350,6,8,5,3,148,19,288,5,6,4,2,118,16,439,423,371,357,90,659,496,65,30,46,3,0,20,1198,534,1111,1078,1021,992,74.5
114,Vista Del Monte,2,NEIGHBORHOODS,23,US,114,BlockApportionment:US.BlockGroups,2.191,2.576,1,1282,93,37,30,7,138,74,426,624,1355,85,33,25,7,116,64,361,538,56.9,245,7,8,1,1,137,25,209,6,7,1,1,115,22,361,339,236,224,328,1236,1037,85,28,29,6,1,48,1661,1146,1685,1621,1356,1322,62.9
115,Wakefield,5,NEIGHBORHOODS,24,US,115,BlockApportionment:US.BlockGroups,2.191,2.576,1,2526,61,282,17,7,1709,130,4320,4539,2541,61,289,18,7,1627,132,4194,4425,75.6,2332,25,136,12,7,1704,103,2291,23,135,13,7,1621,104,4194,4091,2833,2762,1439,412,194,36,145,5,0,5,27,4732,250,4675,4543,3236,3143,75.7
116,West University,6,NEIGHBORHOODS,25,US,116,BlockApportionment:US.BlockGroups,2.191,2.576,1,3479,153,89,360,7,232,228,853,1573,3644,134,79,283,7,188,191,703,1301,51.8,504,15,23,5,2,226,79,418,12,19,4,2,182,67,704,637,627,570,198,3696,2975,138,67,355,5,6,149,4548,3225,4526,4335,4328,4157,58.8
117,Western Hills II,5,NEIGHBORHOODS,26,US,117,BlockApportionment:US.BlockGroups,2.191,2.576,1,430,211,50,14,3,303,61,744,1000,416,206,47,12,3,270,57,676,925,88.1,358,11,33,0,1,301,40,330,10,31,0,1,267,38,677,638,441,421,311,329,72,201,17,14,2,3,21,1072,86,1011,954,700,664,88.4
118,Wilshire Heights,6,NEIGHBORHOODS,27,US,118,BlockApportionment:US.BlockGroups,2.191,2.576,1,276,7,2,10,0,29,12,98,120,262,6,1,7,0,22,10,75,91,54.2,59,1,1,0,0,29,8,45,0,0,0,0,22,6,73,68,51,48,55,239,217,7,1,9,0,0,4,336,217,308,298,253,248,60.5
119,Rancho Perdido Estates,2,NEIGHBORHOODS,28,US,119,BlockApportionment:US.BlockGroups,2.191,2.576,1,65,4,1,3,0,4,4,16,26,56,3,1,2,0,2,3,11,17,47.8,11,0,0,0,0,3,1,7,0,0,0,0,2,1,10,10,8,7,11,64,54,3,1,3,0,0,2,81,49,67,64,55,53,54.8
120,Mesquite Ranch,4,NEIGHBORHOODS,29,US,120,BlockApportionment:US.BlockGroups,2.191,2.576,1,1473,98,13,86,7,69,83,378,615,1552,87,11,69,6,57,71,315,518,49.4,259,14,4,5,3,67,26,218,11,3,4,2,54,23,315,293,182,175,583,1451,1214,84,9,81,4,3,56,1829,1335,1853,1782,1270,1244,56.1
121,Desert Aire/Loma Linda,6,NEIGHBORHOODS,0,US,121,BlockApportionment:US.BlockGroups,2.191,2.576,1,363,17,5,26,4,31,25,134,203,378,16,4,21,3,25,21,112,171,58.3,96,4,3,0,0,29,2,81,4,2,0,0,23,2,112,111,80,79,85,336,268,13,2,26,4,2,22,471,297,468,447,383,370,64.4
122,Millville,5,NEIGHBORHOODS,1,US,122,BlockApportionment:US.BlockGroups,2.191,2.576,1,162,21,17,3,0,40,12,146,182,168,20,16,3,0,37,11,135,171,77.7,89,2,8,0,0,40,6,83,2,8,0,0,36,6,135,129,101,98,46,109,73,19,8,3,0,1,5,255,84,255,244,209,204,78.8
123,Sombras Del Cerro,1,NEIGHBORHOODS,2,US,123,BlockApportionment:US.BlockGroups,2.191,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Rancho Buena,5,NEIGHBORHOODS,3,US,124,BlockApportionment:US.BlockGroups,2.191,2.576,1,2210,162,149,42,4,1805,174,3679,4024,2068,148,136,36,4,1528,154,3161,3478,83,1689,32,61,3,1,1789,104,1473,27,54,3,1,1510,92,3160,3068,1877,1824,1501,866,521,130,88,39,3,16,69,4546,595,4074,3920,2572,2489,83.5
125,Rosemont East,6,NEIGHBORHOODS,4,US,125,BlockApportionment:US.BlockGroups,2.191,2.576,1,166,6,2,24,0,19,9,53,91,165,6,2,18,0,15,7,42,73,58.4,31,0,0,0,0,19,3,25,0,0,0,0,15,2,42,40,34,33,25,173,135,6,2,24,0,0,6,226,140,213,206,188,183,64.6
126,Udall Park,2,NEIGHBORHOODS,5,US,126,BlockApportionment:US.BlockGroups,2.191,2.576,1,275,7,2,14,0,16,18,68,101,267,6,2,10,0,12,14,53,78,47,45,0,2,0,0,16,6,35,0,1,0,0,12,5,53,48,37,35,49,263,230,7,0,14,0,0,12,332,233,311,297,262,256,53.4
127,Menlo Park,1,NEIGHBORHOODS,6,US,127,BlockApportionment:US.BlockGroups,2.191,2.576,1,2870,166,266,102,6,1304,153,3520,3953,2784,150,245,84,5,1123,136,3094,3483,78.3,1956,32,118,16,2,1298,99,1740,27,106,14,2,1116,89,3094,3005,2273,2208,953,1347,914,134,148,86,4,6,54,4867,1044,4527,4391,3574,3473,78.9
128,Silverbell Terrace,1,NEIGHBORHOODS,7,US,128,BlockApportionment:US.BlockGroups,2.191,2.576,1,95,7,3,11,0,40,7,97,120,89,6,3,9,0,32,6,79,98,80.7,51,1,1,0,0,40,4,42,0,1,0,0,32,4,79,75,51,49,38,66,44,6,2,11,0,0,3,163,47,145,139,107,103,82.1
129,Broadway Pantano East,2,NEIGHBORHOODS,8,US,129,BlockApportionment:US.BlockGroups,2.191,2.576,1,4107,486,64,139,24,533,346,1498,2337,4048,410,54,104,21,411,276,1169,1862,61.6,746,47,24,10,3,522,146,587,38,19,7,2,399,117,1169,1052,747,688,1240,4200,3361,439,40,128,21,11,200,5699,3461,5324,5048,4083,3931,67.7
130,Miles,5,NEIGHBORHOODS,9,US,130,BlockApportionment:US.BlockGroups,2.191,2.576,1,601,40,31,27,2,124,45,395,509,600,35,28,22,1,102,38,330,429,72.5,239,4,6,1,2,122,21,202,3,5,1,1,100,18,330,312,252,240,131,475,362,36,25,26,0,2,24,870,399,826,788,697,666,75.8
131,Sierra Estates,5,NEIGHBORHOODS,10,US,131,BlockApportionment:US.BlockGroups,2.191,2.576,1,44,8,2,7,1,14,5,30,48,48,7,2,6,1,12,5,26,44,79.4,12,0,1,0,0,14,3,11,0,1,0,0,12,2,26,24,19,18,14,50,31,7,2,7,0,0,3,81,37,81,76,67,64,83
132,Silvercroft,1,NEIGHBORHOODS,11,US,132,BlockApportionment:US.BlockGroups,2.191,2.576,1,147,18,15,2,0,132,14,271,300,156,19,16,2,0,128,14,267,297,85,118,3,7,0,0,132,11,118,3,7,0,0,127,12,267,255,179,173,103,58,29,15,8,2,0,1,2,328,38,335,321,232,225,85.5
133,Brichta,1,NEIGHBORHOODS,12,US,133,BlockApportionment:US.BlockGroups,2.191,2.576,1,291,20,23,28,0,102,26,295,363,292,19,22,23,0,88,23,258,319,79.9,163,3,10,1,0,102,17,144,3,8,1,0,87,15,258,243,178,169,109,196,128,17,14,27,0,1,9,490,148,467,444,358,345,81.4
134,Cherry Avenue,5,NEIGHBORHOODS,13,US,134,BlockApportionment:US.BlockGroups,2.191,2.576,1,5349,250,332,95,5,3687,374,8775,9273,5154,243,318,84,5,3300,348,7989,8469,77.9,4530,62,217,4,0,3680,282,4171,57,204,4,0,3291,262,7989,7727,5146,4978,3085,1317,819,188,115,91,5,7,92,10092,984,9452,9104,6368,6155,78.1
135,Fairgrounds,5,NEIGHBORHOODS,14,US,135,BlockApportionment:US.BlockGroups,2.191,2.576,1,1200,57,122,4,1,836,64,2069,2198,1176,56,123,4,1,775,62,1957,2089,76.6,1114,25,46,2,1,834,48,1068,24,44,2,1,772,46,1957,1910,1331,1302,668,215,86,32,77,2,0,2,16,2284,108,2197,2135,1529,1487,76.8
136,Bravo Park Lane,5,NEIGHBORHOODS,15,US,136,BlockApportionment:US.BlockGroups,2.191,2.576,1,1906,125,139,50,2,1214,175,3093,3300,1765,118,128,46,2,1054,157,2717,2912,78.8,1595,30,77,25,1,1213,151,1409,27,68,23,1,1053,136,2717,2581,1819,1744,972,519,311,95,62,25,1,1,24,3611,357,3270,3113,2297,2210,78.8
137,Feldman`s,3,NEIGHBORHOODS,16,US,137,BlockApportionment:US.BlockGroups,2.191,2.576,1,1642,114,51,415,1,181,119,538,1154,1694,99,45,310,1,147,98,443,927,63.7,272,9,19,1,0,181,55,227,8,16,1,0,146,46,444,398,348,314,191,1986,1370,105,32,414,1,1,63,2523,1467,2394,2296,2203,2124,69.9
138,Sugar Hill,3,NEIGHBORHOODS,17,US,138,BlockApportionment:US.BlockGroups,2.191,2.576,1,890,189,61,96,1,301,102,624,973,893,162,51,75,1,236,84,497,789,79.5,222,12,21,11,0,300,57,180,10,17,8,0,235,47,497,451,345,322,260,1018,668,177,40,86,1,1,45,1640,713,1502,1418,1242,1191,83.5
139,Toumey Park,6,NEIGHBORHOODS,18,US,139,BlockApportionment:US.BlockGroups,2.191,2.576,1,1440,138,81,25,1,553,137,1299,1544,1431,119,70,21,1,466,116,1088,1299,79.1,610,23,35,0,0,549,82,507,19,29,0,0,462,71,1088,1017,676,627,665,1075,830,115,45,25,1,4,55,2375,924,2224,2108,1558,1483,81.2
140,El Encanto Estates,6,NEIGHBORHOODS,19,US,140,BlockApportionment:US.BlockGroups,2.191,2.576,1,283,5,4,14,0,15,12,68,96,286,4,4,10,0,12,10,55,78,44.8,46,1,1,0,0,15,4,37,1,1,0,0,12,3,54,51,43,41,39,266,237,4,3,13,0,0,8,333,249,326,316,288,280,51.1
141,Colonia Solana,6,NEIGHBORHOODS,20,US,141,BlockApportionment:US.BlockGroups,2.191,2.576,1,255,8,0,8,0,5,8,54,73,250,6,0,6,0,4,6,42,58,37.9,44,2,0,0,0,5,3,35,1,0,0,0,4,2,42,40,36,34,31,230,210,6,0,8,0,0,5,284,215,272,266,242,237,44.1
142,Winterhaven,3,NEIGHBORHOODS,21,US,142,BlockApportionment:US.BlockGroups,2.191,2.576,1,472,23,7,16,4,49,26,145,206,465,19,6,12,3,37,21,113,162,53.4,82,1,2,0,0,48,11,64,1,2,0,0,37,9,113,104,77,73,101,450,390,22,5,15,4,0,14,597,400,563,542,461,449,60.2
143,Barrio Kroeger Lane,1,NEIGHBORHOODS,22,US,143,BlockApportionment:US.BlockGroups,2.191,2.576,1,141,22,18,3,0,72,11,157,195,146,21,17,3,0,62,10,138,175,83.5,68,1,7,1,0,72,8,61,1,6,1,0,62,7,138,131,123,117,18,111,72,21,11,2,0,0,3,267,84,259,249,241,232,85.2
144,Palo Verde Park,2,NEIGHBORHOODS,23,US,144,BlockApportionment:US.BlockGroups,2.191,2.576,1,3206,143,88,94,12,402,219,1278,1664,3333,126,76,76,11,327,186,1063,1393,59.7,706,11,53,3,1,401,103,591,9,45,3,1,326,88,1063,975,673,632,989,2886,2500,132,35,91,11,1,116,4164,2742,4135,3949,3146,3050,65.8
145,Aldea Linda,6,NEIGHBORHOODS,24,US,145,BlockApportionment:US.BlockGroups,2.191,2.576,1,171,8,2,12,2,14,12,63,95,178,7,2,10,1,12,10,53,81,58.6,45,2,1,0,0,14,1,38,2,1,0,0,11,1,53,52,38,37,40,158,126,6,1,12,2,1,10,221,140,220,210,181,175,64.5
146,St. Cyrils,6,NEIGHBORHOODS,25,US,146,BlockApportionment:US.BlockGroups,2.191,2.576,1,1774,144,41,65,6,162,153,620,917,1736,120,33,49,5,124,122,485,726,58.6,347,11,10,1,1,158,93,273,9,8,1,1,120,74,486,411,327,300,365,1725,1428,134,30,64,5,4,60,2345,1464,2189,2067,1825,1764,64.7
147,Arcadia Rose,6,NEIGHBORHOODS,26,US,147,BlockApportionment:US.BlockGroups,2.191,2.576,1,315,16,6,6,0,22,23,80,116,312,14,5,5,0,17,18,62,91,48.6,42,0,2,0,0,22,14,33,0,1,0,0,16,11,61,51,40,36,57,309,273,16,4,6,0,0,9,388,279,371,353,313,303,55.7
148,Saguaro Canyon,4,NEIGHBORHOODS,27,US,148,BlockApportionment:US.BlockGroups,2.191,2.576,1,539,23,5,20,1,29,28,133,199,560,20,4,16,1,23,24,109,165,46.1,94,2,1,0,0,28,8,78,1,1,0,0,22,7,109,102,63,61,176,511,445,21,4,19,1,1,20,645,483,648,624,472,461,52.8
149,Barrio Nopal,1,NEIGHBORHOODS,28,US,149,BlockApportionment:US.BlockGroups,2.191,2.576,1,3035,125,289,19,6,2322,222,5252,5611,2927,122,281,18,6,2082,208,4798,5152,79.7,2628,30,87,2,0,2318,188,2434,28,81,2,0,2076,176,4797,4622,3106,3010,1877,766,407,94,202,17,6,5,34,6018,492,5644,5436,3767,3652,80
150,Santiago Hills,1,NEIGHBORHOODS,29,US,150,BlockApportionment:US.BlockGroups,2.191,2.576,1,602,27,20,12,0,212,33,559,612,627,25,19,10,0,185,30,500,549,75.1,308,6,12,0,0,211,22,279,5,11,0,0,184,20,499,479,385,372,147,346,293,20,9,12,0,1,11,906,347,896,866,749,729,76.6
151,Coronado Heights,3,NEIGHBORHOODS,0,US,151,BlockApportionment:US.BlockGroups,2.191,2.576,1,866,110,87,28,4,424,92,926,1172,949,112,87,25,4,389,88,863,1108,83.1,426,7,30,0,1,423,39,403,7,28,0,1,388,37,864,826,547,526,462,686,440,103,58,28,4,1,52,1611,546,1654,1566,1192,1139,84.8
152,Harold Bell Wright Estates,2,NEIGHBORHOODS,1,US,152,BlockApportionment:US.BlockGroups,2.191,2.576,1,830,39,13,11,2,60,24,229,298,714,28,9,7,1,40,17,156,205,47.1,149,7,7,0,0,59,7,102,5,5,0,0,39,5,156,151,106,104,114,750,681,32,6,11,2,1,17,979,612,816,799,703,693,53.8
153,Carriage Park,2,NEIGHBORHOODS,2,US,153,BlockApportionment:US.BlockGroups,2.191,2.576,1,5512,530,81,208,25,572,334,1838,2812,5545,447,69,159,21,441,271,1452,2256,57.1,1062,43,21,9,0,563,140,848,34,17,8,0,432,113,1452,1339,1015,953,1255,5424,4450,487,60,199,25,9,194,7262,4697,6953,6682,5698,5540,63.8
154,Copper Vista,5,NEIGHBORHOODS,3,US,154,BlockApportionment:US.BlockGroups,2.191,2.576,1,1246,26,100,5,0,937,86,2170,2263,1244,27,99,5,0,874,84,2066,2160,77.2,1108,9,39,2,0,936,76,1071,8,38,2,0,873,74,2066,1991,1242,1194,888,231,138,18,61,3,0,1,10,2400,174,2333,2249,1446,1390,77.6
155,West Lamar City Acres,5,NEIGHBORHOODS,4,US,155,BlockApportionment:US.BlockGroups,2.191,2.576,1,259,3,19,0,0,81,16,340,358,272,3,20,0,0,80,17,345,364,61.8,239,2,6,0,0,81,13,244,2,6,0,0,80,13,345,332,258,249,93,39,21,2,13,0,0,0,4,378,28,392,375,299,286,61.7
156,Loma Verde,6,NEIGHBORHOODS,5,US,156,BlockApportionment:US.BlockGroups,2.191,2.576,1,371,19,6,20,0,49,23,139,194,398,18,6,17,0,41,21,119,168,59.5,77,1,3,0,0,49,9,66,1,3,0,0,41,8,119,111,80,77,94,349,294,18,3,20,0,0,14,488,332,501,480,406,397,65.6
157,Downtown,1,NEIGHBORHOODS,6,US,157,BlockApportionment:US.BlockGroups,2.191,2.576,1,110,7,3,6,0,15,10,47,67,94,5,2,4,0,10,7,32,45,63.4,25,1,1,0,0,15,5,17,1,1,0,0,10,3,32,28,29,27,5,104,85,6,2,6,0,0,5,151,77,122,115,117,112,69.8
158,Barrio Santa Cruz,1,NEIGHBORHOODS,7,US,158,BlockApportionment:US.BlockGroups,2.191,2.576,1,118,12,14,4,0,57,9,146,169,116,11,13,4,0,49,8,128,149,81.7,73,1,7,1,0,57,7,64,1,6,1,0,49,6,127,122,98,94,34,68,45,11,7,3,0,0,2,214,52,201,193,167,161,82.3
159,Bonanza,2,NEIGHBORHOODS,8,US,159,BlockApportionment:US.BlockGroups,2.191,2.576,1,4108,275,44,180,11,299,206,964,1577,4219,235,38,141,10,236,169,775,1285,48.1,562,18,11,7,0,293,73,456,14,9,6,0,230,60,775,715,538,513,984,4159,3546,257,33,173,11,6,133,5123,3763,5048,4879,4064,3978,55.1
